train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2,train_smape,val_smape,learning_rate
0.12485138815024803,0.05833220792313417,1552.911865234375,919.85302734375,1998.5445954493985,1343.358803521978,-1.5598151683807373,-0.14265203475952148,110.165596,67.592636,0.0001
0.10016880107337031,0.05538085801526904,1394.1920166015625,911.8403930664062,1783.5032239948432,1309.1194082282946,-1.0385844707489014,-0.08514678478240967,90.97911,66.803696,0.0001
0.08421124016930318,0.05270549717048804,1302.0810546875,1038.2335205078125,1637.9882478210886,1285.0617203076279,-0.7195011377334595,-0.04562962055206299,84.27619,70.926735,0.0001
0.0706344700322069,0.050587903087337814,1208.060302734375,1059.42431640625,1503.251392814921,1262.2185824967084,-0.4482520818710327,-0.00878608226776123,77.4815,71.65842,0.0001
0.07327530109162989,0.05302580251979331,1225.1375732421875,859.3333129882812,1530.0301467618212,1279.8797306778476,-0.5003095865249634,-0.037213683128356934,76.42219,64.21278,0.0001
0.05903276364351141,0.12257882518072923,1070.8424072265625,1611.104248046875,1373.6494276197257,1956.0241562925546,-0.2092963457107544,-1.4225811958312988,68.99332,196.67001,0.0001
0.05887119478449739,0.0404861643910408,1092.527099609375,804.8004760742188,1369.7401213368908,1121.1350275502055,-0.20242297649383545,0.20412331819534302,73.95181,84.43135,0.0001
0.04716402806084732,0.06383745023049414,962.672607421875,929.35693359375,1225.3973335208461,1404.7745370699172,0.03764611482620239,-0.249519944190979,66.36287,76.29815,0.0001
0.040274640095644985,0.03282167731473843,902.5936889648438,902.6394653320312,1133.4398418089952,1022.6076043624945,0.17666256427764893,0.33786284923553467,63.904488,67.522255,0.0001
0.036171467846323704,0.02903043998715778,855.7787475585938,652.5866088867188,1075.0441851384528,948.0535652061017,0.25931495428085327,0.43089067935943604,62.17755,50.081223,0.0001
0.034183911979198456,0.0905058728531003,821.8958740234375,1587.251953125,1044.056332292468,1704.5438539386425,0.30139970779418945,-0.8396968841552734,58.130383,87.61847,0.0001
0.028048911806324434,0.02437726284066836,738.6824951171875,705.73193359375,942.023553314884,877.0271874349164,0.4312722086906433,0.5129696130752563,59.191906,56.35218,0.0001
0.03229445308960717,0.026674076604346435,797.857666015625,838.6964111328125,1013.7085071656447,923.0684224368202,0.3414221405982971,0.46049219369888306,59.65764,61.876415,0.0001
0.03239169993020337,0.02708893921226263,799.4735717773438,812.1148071289062,1017.9287180348141,927.1448444013481,0.33592718839645386,0.4557165503501892,58.091778,63.227367,0.0001
0.03233912593588747,0.02827520916859309,777.6006469726562,861.9390869140625,1017.1544253455323,951.174175690236,0.33693718910217285,0.42713797092437744,56.647152,62.79686,0.0001
0.024550548594059616,0.029874120877745252,683.5782470703125,634.3270263671875,885.2273013187065,959.4378236759275,0.4977840185165405,0.4171409010887146,50.548214,67.80048,0.0001
0.025763849888382286,0.06598148805399735,697.2504272460938,1165.2508544921875,907.0419298466858,1440.545643150539,0.47272688150405884,-0.3139655590057373,53.092045,100.13244,0.0001
0.02429074164608429,0.013189395734419426,656.0275268554688,430.7074279785156,874.9936785485938,640.7134451141166,0.5093286037445068,0.7400692701339722,50.62913,33.796005,0.0001
0.021351334253518747,0.03503067403410872,646.1435546875,953.0450439453125,825.7122682872043,1060.6083749433624,0.5630433559417725,0.2877376079559326,49.16797,66.78874,0.0001
0.02069590804327665,0.02147053151081006,637.8355712890625,734.2431030273438,811.8839587650442,827.43349430634,0.5775562524795532,0.5664929747581482,48.10452,55.704765,0.0001
