train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2,train_smape,val_smape,learning_rate
0.05690646294666373,0.020359192421892658,1032.5311279296875,592.267578125,1346.8575926949368,789.309785508833,-0.16179311275482178,0.6055200695991516,66.8121109008789,49.12942123413086,0.001
0.02233936541976974,0.021872010455505613,651.2973022460938,724.47509765625,843.8713986739923,831.672373894913,0.5443971753120422,0.5620399713516235,48.903690338134766,57.191043853759766,0.001
0.017060499268067675,0.014305504075309727,573.760986328125,563.3851318359375,737.4570750219974,669.3436150438727,0.6502020359039307,0.7163203358650208,41.49921417236328,47.14234924316406,0.001
0.012678488909833781,0.009167922020424157,482.322021484375,396.71429443359375,635.732795677555,530.75992100949,0.7413079738616943,0.821628212928772,35.70405960083008,31.870895385742188,0.001
0.01185186778438156,0.009719369991216809,443.4467468261719,442.99114990234375,614.6590264122052,548.3186516524858,0.7583907842636108,0.8096311092376709,29.996660232543945,36.06858825683594,0.001
0.01230318047455512,0.009594222865416668,456.5167236328125,451.68841552734375,626.2526197549995,545.3695707958045,0.7488938570022583,0.8116733431816101,30.87356185913086,36.40809631347656,0.001
0.011391939021363531,0.009638490503372546,439.9136657714844,360.01837158203125,602.6146415828277,538.7600057075506,0.7663959264755249,0.8162105083465576,29.611133575439453,27.77935028076172,0.001
0.01045086303657508,0.010381446253935186,427.28851318359375,463.6455078125,577.1875507579837,566.1756297740128,0.7866582870483398,0.7970297932624817,28.99755859375,37.13591384887695,0.001
0.00976093882951397,0.009641365031711757,398.4277648925781,452.5643615722656,557.8104796882182,547.9621052134901,0.8005350828170776,0.8098785877227783,26.62401580810547,34.928260803222656,0.001
0.010008753410479783,0.008306343886943068,401.1530456542969,348.9707946777344,564.8470478811056,502.0862413470419,0.7956006526947021,0.8403802514076233,26.051156997680664,26.67849349975586,0.001
0.009561772353924386,0.011208068739506416,405.0675048828125,495.59661865234375,552.0902609628248,592.4905589965126,0.8046548366546631,0.7777239084243774,26.381126403808594,38.75318145751953,0.001
0.009150614108353772,0.00923946188292272,393.2587585449219,385.6001281738281,540.0898073468893,529.2719350674093,0.8130105137825012,0.8226269483566284,26.08925437927246,29.929262161254883,0.001
0.009190028162882537,0.008456526926844768,382.4546203613281,395.7879638671875,541.2517320988451,509.7833332652216,0.8116533160209656,0.8354487419128418,25.170303344726562,30.91170883178711,0.001
0.009220354758587707,0.008478160695328066,387.50323486328125,377.0929260253906,542.1440076215913,508.1650199492287,0.8107583522796631,0.8364918231964111,25.07093620300293,30.451416015625,0.001
0.008600110662519,0.010693027291078275,372.8981018066406,467.11199951171875,523.5918615677673,577.3519831956932,0.8219268321990967,0.7889373898506165,25.017711639404297,36.21531295776367,0.001
0.009062103576877195,0.00895693510392448,382.182861328125,410.9880676269531,537.4714527302822,525.8537997865947,0.8146844506263733,0.8249105215072632,23.96965217590332,31.92426300048828,0.001
0.007829572974435945,0.008271468983972833,356.10888671875,390.67718505859375,499.5856095305388,503.70606197960336,0.8401775360107422,0.8393486738204956,23.218904495239258,29.853239059448242,0.001
0.008466141149097972,0.007795855221047532,377.6991271972656,382.7171325683594,519.4976840660601,489.6237075550979,0.8273617625236511,0.8482059240341187,24.774391174316406,30.111679077148438,0.001
0.008413810118951875,0.008372235504793935,366.2478332519531,404.9176330566406,517.8896178241074,508.7903239547702,0.8281203508377075,0.8360891938209534,23.665342330932617,31.966182708740234,0.001
